YYMMDD,STN,TA_AVG,TA_MAX,TA_MIN,HM_AVG,RN_DAY,DATE
20190404,90,15.3,21.2,2337,18.4,-9.0,2019-04-04
20190404,93,8.0,17.7,1455,40.4,-9.0,2019-04-04
20190404,95,7.6,16.0,1441,46.3,-9.0,2019-04-04
20190404,98,8.1,16.2,1405,49.3,-9.0,2019-04-04
20190404,99,7.7,15.0,1440,61.9,-9.0,2019-04-04
20190404,100,6.0,11.4,1605,31.8,-9.0,2019-04-04
20190404,101,8.6,17.2,1447,41.0,-9.0,2019-04-04
20190404,102,9.0,13.1,1312,65.0,-9.0,2019-04-04
20190404,104,14.3,20.3,1325,17.4,-9.0,2019-04-04
20190404,105,14.2,19.4,1533,18.8,-9.0,2019-04-04
20190404,106,14.9,20.6,1424,17.8,-9.0,2019-04-04
20190404,108,9.2,15.7,1511,43.0,-9.0,2019-04-04
20190404,112,8.0,11.9,1203,66.6,-9.0,2019-04-04
20190404,114,9.1,17.2,1542,34.4,-9.0,2019-04-04
20190404,115,11.9,16.4,1511,44.1,-9.0,2019-04-04
20190404,119,8.9,17.3,1526,52.3,-9.0,2019-04-04
20190404,121,8.6,17.2,1512,36.9,-9.0,2019-04-04
20190404,127,7.9,18.4,1547,39.3,-9.0,2019-04-04
20190404,129,7.2,15.0,1527,75.8,-9.0,2019-04-04
20190404,130,14.7,21.3,1450,20.3,-9.0,2019-04-04
20190404,131,9.9,18.5,1505,36.8,-9.0,2019-04-04
20190404,133,9.2,17.3,1547,46.3,-9.0,2019-04-04
20190404,135,9.8,16.8,1418,25.4,-9.0,2019-04-04
20190404,136,10.6,18.7,1504,28.8,-9.0,2019-04-04
20190404,137,10.7,18.7,1416,31.1,-9.0,2019-04-04
20190404,138,14.4,21.0,1623,24.5,-9.0,2019-04-04
20190404,140,8.0,14.5,1153,66.9,-9.0,2019-04-04
20190404,143,13.1,21.5,1536,21.9,-9.0,2019-04-04
20190404,146,8.7,17.1,1451,51.5,-9.0,2019-04-04
20190404,152,13.4,21.2,1530,24.4,-9.0,2019-04-04
20190404,155,11.1,18.5,1316,29.4,-9.0,2019-04-04
20190404,156,9.6,19.2,1511,47.6,-9.0,2019-04-04
20190404,159,12.1,17.4,1422,32.9,-9.0,2019-04-04
20190404,162,11.0,16.3,1421,44.0,-9.0,2019-04-04
20190404,165,8.8,14.2,1313,61.0,-9.0,2019-04-04
20190404,168,11.1,15.4,1413,40.0,-9.0,2019-04-04
20190404,169,9.5,14.5,1233,62.3,-9.0,2019-04-04
20190404,170,10.8,17.8,1302,44.4,-9.0,2019-04-04
20190404,172,8.0,17.5,1418,54.8,-9.0,2019-04-04
20190404,174,9.8,19.2,1452,41.9,-9.0,2019-04-04
20190404,175,7.6,16.2,1202,49.0,-9.0,2019-04-04
20190404,177,8.4,14.7,1441,60.9,-9.0,2019-04-04
20190404,184,11.3,14.6,1238,45.9,-9.0,2019-04-04
20190404,185,10.8,15.0,1402,57.8,-9.0,2019-04-04
20190404,188,10.5,16.8,1040,39.4,-9.0,2019-04-04
20190404,189,11.4,15.5,1401,47.9,-9.0,2019-04-04
20190404,192,10.9,20.5,1453,40.3,-9.0,2019-04-04
20190404,201,7.5,12.5,1144,63.4,-9.0,2019-04-04
20190404,202,8.1,17.7,1513,39.0,-9.0,2019-04-04
20190404,203,8.6,18.0,1440,38.5,-9.0,2019-04-04
20190404,211,8.4,15.9,1458,37.0,-9.0,2019-04-04
20190404,212,8.3,18.0,1543,41.0,-9.0,2019-04-04
20190404,216,8.3,14.6,1417,25.8,-9.0,2019-04-04
20190404,217,8.9,16.6,1317,29.1,-9.0,2019-04-04
20190404,221,7.0,16.5,1359,37.4,-9.0,2019-04-04
20190404,226,7.3,18.0,1519,45.8,-9.0,2019-04-04
20190404,232,7.5,17.2,1417,43.5,-9.0,2019-04-04
20190404,234,8.6,17.5,1440,43.8,-9.0,2019-04-04
20190404,235,7.1,12.7,1507,71.6,-9.0,2019-04-04
20190404,236,7.1,16.5,1424,59.0,-9.0,2019-04-04
20190404,238,7.2,17.5,1504,43.3,-9.0,2019-04-04
20190404,243,8.3,16.9,1347,51.5,-9.0,2019-04-04
20190404,244,6.4,17.6,1500,52.3,-9.0,2019-04-04
20190404,245,8.0,16.3,1415,50.9,-9.0,2019-04-04
20190404,247,8.5,19.2,1506,39.5,-9.0,2019-04-04
20190404,248,6.5,16.3,1406,41.6,-9.0,2019-04-04
20190404,251,7.8,17.4,1402,50.6,-9.0,2019-04-04
20190404,252,7.4,16.3,1401,62.4,-9.0,2019-04-04
20190404,253,12.3,20.9,1359,32.8,-9.0,2019-04-04
20190404,254,8.1,18.5,1447,47.4,-9.0,2019-04-04
20190404,255,11.2,19.5,1246,36.4,-9.0,2019-04-04
20190404,257,12.8,20.7,1410,37.4,-9.0,2019-04-04
20190404,258,10.4,19.2,1403,39.8,-9.0,2019-04-04
20190404,259,8.8,17.9,1339,51.4,-9.0,2019-04-04
20190404,260,8.7,18.7,1409,50.5,-9.0,2019-04-04
20190404,261,6.4,16.2,1256,64.4,-9.0,2019-04-04
20190404,262,9.5,17.7,1335,43.0,-9.0,2019-04-04
20190404,263,9.7,21.0,1425,40.4,-9.0,2019-04-04
20190404,264,10.3,19.3,1428,36.0,-9.0,2019-04-04
20190404,266,12.4,21.2,1420,22.1,-9.0,2019-04-04
20190404,268,7.9,15.4,1229,58.9,-9.0,2019-04-04
20190404,271,9.0,17.4,1517,27.8,-9.0,2019-04-04
20190404,272,10.4,16.6,1534,22.8,-9.0,2019-04-04
20190404,273,10.5,18.5,1526,26.9,-9.0,2019-04-04
20190404,276,9.5,18.3,1449,31.9,-9.0,2019-04-04
20190404,277,13.4,20.6,1456,19.3,-9.0,2019-04-04
20190404,278,8.9,20.2,1430,35.3,-9.0,2019-04-04
20190404,279,11.1,20.6,1524,27.4,-9.0,2019-04-04
20190404,281,12.9,21.6,1439,18.5,-9.0,2019-04-04
20190404,283,13.7,21.4,1627,22.4,-9.0,2019-04-04
20190404,284,8.7,19.2,1238,37.6,-9.0,2019-04-04
20190404,285,10.8,21.9,1537,29.8,-9.0,2019-04-04
20190404,288,10.0,21.6,1530,39.8,-9.0,2019-04-04
20190404,289,11.7,19.8,1332,24.9,-9.0,2019-04-04
20190404,294,11.5,18.4,1136,32.9,-9.0,2019-04-04
20190404,295,11.7,19.9,1438,33.9,-9.0,2019-04-04
20190405,90,12.7,18.4,1237,35.1,-9.0,2019-04-05
20190405,93,11.4,19.5,1442,32.3,-9.0,2019-04-05
20190405,95,10.1,17.3,1413,43.4,0.0,2019-04-05
20190405,98,11.7,19.9,1449,43.1,0.0,2019-04-05
20190405,99,11.0,17.5,1425,45.0,-9.0,2019-04-05
20190405,100,6.7,13.3,1558,47.1,0.1,2019-04-05
20190405,101,12.3,19.6,1459,33.8,-9.0,2019-04-05
20190405,102,8.5,10.7,1427,48.1,-9.0,2019-04-05
20190405,104,12.0,18.2,1115,35.4,-9.0,2019-04-05
20190405,105,12.8,18.6,1305,37.1,-9.0,2019-04-05
20190405,106,12.2,18.6,1238,43.4,-9.0,2019-04-05
20190405,108,11.4,17.2,1521,41.0,0.0,2019-04-05
20190405,112,10.5,14.8,1321,56.9,-9.0,2019-04-05
20190405,114,11.1,17.5,1428,35.9,0.0,2019-04-05
20190405,115,11.9,15.4,1237,37.3,-9.0,2019-04-05
20190405,119,10.1,16.9,1445,56.4,-9.0,2019-04-05
20190405,121,10.4,17.5,1507,42.5,-9.0,2019-04-05
20190405,127,9.8,18.4,1419,40.0,-9.0,2019-04-05
20190405,129,10.2,17.9,1339,56.5,-9.0,2019-04-05
20190405,130,12.4,20.9,1410,46.3,-9.0,2019-04-05
20190405,131,11.7,20.2,1453,42.8,-9.0,2019-04-05
20190405,133,11.6,18.6,1557,53.5,-9.0,2019-04-05
20190405,135,11.2,18.2,1513,36.9,-9.0,2019-04-05
20190405,136,11.4,19.8,1627,38.3,-9.0,2019-04-05
20190405,137,12.5,19.7,1449,38.9,-9.0,2019-04-05
20190405,138,15.8,22.7,1552,38.9,-9.0,2019-04-05
20190405,140,8.9,14.2,1239,72.8,-9.0,2019-04-05
20190405,143,15.2,22.0,1626,26.5,-9.0,2019-04-05
20190405,146,10.1,18.0,1437,56.6,-9.0,2019-04-05
20190405,152,17.4,23.4,1441,24.5,-9.0,2019-04-05
20190405,155,14.1,18.3,1238,33.8,-9.0,2019-04-05
20190405,156,11.8,19.6,1619,54.3,-9.0,2019-04-05
20190405,159,13.9,18.0,1641,48.4,-9.0,2019-04-05
20190405,162,12.9,17.2,1626,65.1,-9.0,2019-04-05
20190405,165,10.5,14.8,1135,69.1,-9.0,2019-04-05
20190405,168,13.7,20.2,1511,51.5,-9.0,2019-04-05
20190405,169,11.4,16.2,1049,63.4,-9.0,2019-04-05
20190405,170,13.2,18.3,1451,65.1,-9.0,2019-04-05
20190405,172,9.9,16.4,1409,63.5,-9.0,2019-04-05
20190405,174,11.5,19.1,1500,54.9,-9.0,2019-04-05
20190405,175,10.0,16.1,1453,59.3,-9.0,2019-04-05
20190405,177,10.8,17.3,1514,58.3,-9.0,2019-04-05
20190405,184,14.5,18.2,1156,67.0,-9.0,2019-04-05
20190405,185,13.7,18.9,1347,81.6,-9.0,2019-04-05
20190405,188,12.9,18.5,1409,63.4,-9.0,2019-04-05
20190405,189,15.0,21.4,1621,69.9,-9.0,2019-04-05
20190405,192,12.8,21.9,1533,48.8,-9.0,2019-04-05
20190405,201,10.7,17.6,1422,46.8,-9.0,2019-04-05
20190405,202,10.0,18.2,1543,40.0,-9.0,2019-04-05
20190405,203,9.7,18.0,1324,39.3,-9.0,2019-04-05
20190405,211,10.4,18.6,1544,35.5,-9.0,2019-04-05
20190405,212,11.3,18.9,1532,38.3,-9.0,2019-04-05
20190405,216,8.5,14.9,1558,44.9,0.0,2019-04-05
20190405,217,9.7,17.1,1606,40.1,-9.0,2019-04-05
20190405,221,8.6,17.3,1528,43.9,-9.0,2019-04-05
20190405,226,9.5,19.7,1526,51.3,-9.0,2019-04-05
20190405,232,10.1,17.5,1409,46.3,-9.0,2019-04-05
20190405,234,11.2,19.2,1515,47.1,-9.0,2019-04-05
20190405,235,9.0,14.4,1541,66.1,-9.0,2019-04-05
20190405,236,9.7,18.7,1530,55.9,-9.0,2019-04-05
20190405,238,9.6,18.7,1457,49.3,-9.0,2019-04-05
20190405,243,9.9,16.5,1310,57.3,-9.0,2019-04-05
20190405,244,7.5,18.8,1545,56.6,-9.0,2019-04-05
20190405,245,10.3,17.1,1530,59.8,-9.0,2019-04-05
20190405,247,8.7,19.9,1619,50.4,-9.0,2019-04-05
20190405,248,8.8,17.6,1548,47.4,-9.0,2019-04-05
20190405,251,9.7,16.7,1511,59.4,-9.0,2019-04-05
20190405,252,9.3,15.2,1603,66.0,-9.0,2019-04-05
20190405,253,16.0,22.4,1502,32.6,-9.0,2019-04-05
20190405,254,8.9,19.4,1518,55.3,-9.0,2019-04-05
20190405,255,15.0,21.7,1452,32.9,-9.0,2019-04-05
20190405,257,14.8,21.6,1719,41.8,-9.0,2019-04-05
20190405,258,12.4,20.2,1504,50.4,-9.0,2019-04-05
20190405,259,10.3,18.3,1529,60.1,-9.0,2019-04-05
20190405,260,10.3,19.4,1413,67.6,-9.0,2019-04-05
20190405,261,8.5,16.9,1300,73.0,-9.0,2019-04-05
20190405,262,12.0,19.1,1624,59.9,-9.0,2019-04-05
20190405,263,14.1,22.9,1449,36.6,-9.0,2019-04-05
20190405,264,11.9,19.4,1723,47.6,-9.0,2019-04-05
20190405,266,14.4,21.4,1521,34.3,-9.0,2019-04-05
20190405,268,10.6,16.0,1033,72.8,-9.0,2019-04-05
20190405,271,8.1,18.6,1511,47.3,-9.0,2019-04-05
20190405,272,9.6,18.0,1608,40.1,-9.0,2019-04-05
20190405,273,11.1,20.0,1604,35.9,0.0,2019-04-05
20190405,276,10.1,18.8,1444,41.6,-9.0,2019-04-05
20190405,277,13.0,20.8,1633,43.9,-9.0,2019-04-05
20190405,278,9.7,21.3,1527,46.1,-9.0,2019-04-05
20190405,279,12.9,21.3,1611,37.8,-9.0,2019-04-05
20190405,281,14.5,22.8,1448,25.0,-9.0,2019-04-05
20190405,283,15.7,22.4,1612,34.3,-9.0,2019-04-05
20190405,284,11.5,19.8,1559,42.6,-9.0,2019-04-05
20190405,285,14.4,21.5,1631,31.4,-9.0,2019-04-05
20190405,288,13.5,22.6,1437,38.3,-9.0,2019-04-05
20190405,289,12.6,19.6,1554,38.4,-9.0,2019-04-05
20190405,294,13.4,16.8,1242,57.1,-9.0,2019-04-05
20190405,295,15.3,21.2,1450,39.9,-9.0,2019-04-05
20190406,90,11.4,15.0,956,43.5,0.9,2019-04-06
20190406,93,7.6,13.1,1430,53.4,9.3,2019-04-06
20190406,95,5.7,12.1,1242,69.4,3.5,2019-04-06
20190406,98,7.9,13.4,1154,53.5,3.6,2019-04-06
20190406,99,7.2,13.3,1447,60.1,2.9,2019-04-06
20190406,100,4.5,11.8,1156,57.4,7.6,2019-04-06
20190406,101,8.1,13.3,1423,56.8,5.5,2019-04-06
20190406,102,7.2,9.7,1933,60.3,0.0,2019-04-06
20190406,104,9.9,14.1,1027,44.9,3.8,2019-04-06
20190406,105,11.6,15.8,1046,39.8,2.5,2019-04-06
20190406,106,10.8,14.6,1114,46.5,0.6,2019-04-06
20190406,108,9.3,12.2,1234,39.9,0.8,2019-04-06
20190406,112,9.4,10.9,1855,53.9,0.0,2019-04-06
20190406,114,8.9,13.8,1510,43.8,0.1,2019-04-06
20190406,115,10.3,15.0,1222,59.0,1.1,2019-04-06
20190406,119,9.7,13.9,1303,51.4,0.0,2019-04-06
